anio,Clave_del_incendio,latitud,longitud,Clave_Municipio,Estado,Municipio,CVE_ENT,CVE_MUN,CVEGEO,Region,Predio,Causa,Causa_especifica,Fecha_Inicio,Fecha_Termino,Duracion_dias,Tipo_de_incendio,Tipo_Vegetacion,Regimen_de_fuego,Tipo_impacto,Arbolado_Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Total_hectareas,Tamano,Deteccion,Llegada,Duracion,Entidad,fn_Clave_del_incendio,fn_Predio,fn_Causa,fn_Causa_especifica,fn_Duracion_dias,fn_Tipo_de_incendio,fn_Tipo_Vegetacion,fn_Tipo_impacto,fn_Tamano
2022,22-01-0026,22.11373056,-102.3413056,6,Aguascalientes,Pabellón de Arteaga,1,6,601,Occidente,SANTIAGO,Desconocidas,Desconocidas,3/22/2022,3/22/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,5.68539,13.26591,0,18.9513,11 a 20 Hectáreas,540,3000,12000,Aguascalientes,,,,,,,,,
2022,22-01-0027,21.82965833,-102.2536611,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,COBOS-LUNARIA,Actividades ilícitas,Vandalismo,3/27/2022,3/27/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0.32721,0,1.30884,4.90815,0,6.5442,6 a 10 Hectáreas,300,900,14100,Aguascalientes,,,,,,,,,
2022,22-01-0028,22.14505556,-102.3642194,7,Aguascalientes,Rincón de Romos,1,7,701,Occidente,LA PIEDRERA,Fumadores,Fumadores,3/30/2022,3/30/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0.06488,1.23272,0,1.2976,0 a 5 Hectáreas,300,1200,9600,Aguascalientes,,,,,,,,,
2022,22-01-0029,22.22169444,-102.333475,7,Aguascalientes,Rincón de Romos,1,7,701,Occidente,EL COLOMO,Actividades ilícitas,Vandalismo,4/1/2022,4/1/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,1.251555,7.092145,0,8.3437,6 a 10 Hectáreas,600,1200,9000,Aguascalientes,,,,,,,,,
2022,22-01-0030,22.04368056,-102.1643111,11,Aguascalientes,San Francisco de los Romo,1,11,1101,Occidente,EJIDO AMAPOLAS Y ANEXAS,Desconocidas,Desconocidas,4/2/2022,4/2/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.307745,5.847155,0,6.1549,6 a 10 Hectáreas,3000,5400,15300,Aguascalientes,,,,,,,,,
2022,22-01-0031,22.30406111,-102.4943806,8,Aguascalientes,San José de Gracia,1,8,801,Occidente,BARRANCA DE RANCHO VIEJO,Actividades ilícitas,Tala ilegal,4/2/2022,4/4/2022,2 a 3 Días,Superficial,Bosque de Encino,Adaptado,Impacto Mínimo,0.421126,0,3.790134,12.63378,4.21126,21.0563,21 a 50 Hectáreas,7200,77400,183600,Aguascalientes,,,,,,,,,
2022,22-01-0032,22.36569444,-102.3736472,4,Aguascalientes,Cosío,1,4,401,Occidente,EJIDO EL SALERO,Fogatas,Fogatas,4/4/2022,4/5/2022,2 a 3 Días,Superficial,Pastizal Natural,Adaptado,Impacto Moderado,0,0,6.92608,10.38912,0,17.3152,11 a 20 Hectáreas,9000,20400,103200,Aguascalientes,,,,,,,,,
2022,22-01-0033,21.97611111,-102.2284167,11,Aguascalientes,San Francisco de los Romo,1,11,1101,Occidente,EJIDO MARGARITAS,Actividades ilícitas,Vandalismo,4/7/2022,4/8/2022,2 a 3 Días,Superficial,Matorral Crasicaule,Otros,Impacto Moderado,12.52926,0,75.17556,162.88038,0,250.5852,Mayor a 100 Hectáreas,300,900,91200,Aguascalientes,,,,,,,,,
2022,22-01-0034,21.863575,-102.2230972,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,EJIDO SALTO DE OJOCALIENTE,Desconocidas,Desconocidas,4/9/2022,4/9/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0,7.72,0,7.72,6 a 10 Hectáreas,1320,2700,6300,Aguascalientes,,,,,,,,,
2022,22-01-0035,22.041325,-102.1713694,11,Aguascalientes,San Francisco de los Romo,1,11,1101,Occidente,EJIDO AMAPOLAS Y ANEXAS,Actividades pecuarias,Actividades apícolas,4/16/2022,4/17/2022,2 a 3 Días,Mixto,Matorral Crasicaule,Otros,Impacto Mínimo,2.644764,0,10.579056,119.01438,0,132.2382,Mayor a 100 Hectáreas,900,3300,76800,Aguascalientes,,,,,,,,,
